Total untranslated: 1467
---
about.page_header	About Operion
about.page_header_desc	We're building the future of enterprise logistics software.
about.page_title	About - Operion ERP
about.story_p1	Operion was founded in 2024 with a clear mission: make enterprise-grade logistics software accessible to fleets of all sizes.
about.story_p2	Our team combines decades of experience in logistics, software engineering, and AI to build tools that solve real-world problems.
about.story_p3	Today, Operion powers fleets across Europe, helping them plan smarter, dispatch faster, and grow bigger.
about.story_title	Our Story
about.team_desc	Our team combines decades of experience in logistics, software engineering, and AI.
about.team_title	Our Team
about.value_customer_desc	Every feature we build starts with real customer needs and feedback.
about.value_customer_title	Customer First
about.value_innovation_desc	We invest heavily in R&D to bring cutting-edge AI and optimization to logistics.
about.value_innovation_title	Innovation
about.value_partnership_desc	We don't just sell software. We partner with our customers for their success.
about.value_partnership_title	Partnership
about.value_reliability_desc	Your operations depend on our software. We take that responsibility seriously.
about.value_reliability_title	Reliability
about.value_security_desc	Enterprise-grade encryption, GDPR compliance, and regular security audits.
about.value_security_title	Security
about.value_transparency_desc	Clear pricing, honest communication, and no hidden fees.
about.value_transparency_title	Transparency
about.values_desc	The principles that guide every decision we make.
about.values_title	Our Values
admin.active_tasks	Active Tasks
admin.api_version_label	API Version:
admin.cache_cleared	Cache cleared
admin.celery_status	Celery Status
admin.clear_cache	Clear Cache
admin.connected_label	Connected:
admin.db_engine_label	DB Engine:
admin.db_inspector	Database Inspector
admin.db_path_label	DB Path
admin.debug_mode_label	Debug Mode:
admin.diagnostics	Diagnostics
admin.doc_stats	Document Statistics
admin.email_invalid	Please enter a valid email address.
admin.email_placeholder	admin@example.com
admin.email_prompt	Enter your email
admin.email_required	Please enter your email address.
admin.environment_label	Environment:
admin.execute_query	Execute
admin.forbidden	Access denied
admin.health	Health
admin.hit_rate	Hit Rate
admin.invalid_query	Invalid query
admin.keys_count	Keys
admin.latency	Latency
admin.latency_ms	{value} ms
admin.login_failed	Invalid email or password.
admin.login_required	Admin authentication required
admin.login_title	Admin Login
admin.memory_used	Memory Used
admin.no_data	No data
admin.ocr_coverage	OCR Coverage
admin.offline	Server unreachable
admin.orphan_docs	Orphan Documents
admin.password_placeholder	╖╖╖╖╖╖╖╖╖╖╖╖
admin.password_required	Please enter your password.
admin.platform_label	Platform
admin.python_version_label	Python Version
admin.query_error	Query error
admin.query_placeholder	SELECT * FROM table LIMIT 100
admin.redis_status	Redis Status
admin.required_fields	Email and password are required.
admin.rows	{count} rows
admin.storage_used	Storage Used
admin.system_info	System Info
admin.tab_title	Admin Panel
admin.table_selector	Select table
admin.total_docs	Total Documents
admin.workers_online	Workers Online
analytics.active_clients_trend	Active Clients Trend
analytics.active_vs_inactive	Active vs Inactive
analytics.aging_31_60	31-60 days
analytics.aging_61_90	61-90 days
analytics.aging_current	Current (0-30d)
analytics.aging_overdue	90+ days
analytics.all_countries	All Countries
analytics.avg_profit_trend	Net Profit Trend
analytics.category_distribution	Category Distribution
analytics.client_concentration	Revenue Concentration
analytics.client_growth	New Clients per Month
analytics.client_insight	Insight: {client} generates {rev_pct}% of revenue but only {profit_pct}% of profit.
analytics.client_payment_delay	Average Payment Delay (Days)
analytics.client_payment_delay_full	Average Payment Delay (Days)
analytics.client_profit	Profit by Client
analytics.client_rest	Rest
analytics.client_retention	Client Retention
analytics.client_revenue	Revenue by Client
analytics.client_revenue_per_client	Revenue per Client Trend
analytics.client_subtitle	Client revenue, payment behavior, and growth
analytics.col_km	KM
analytics.col_profit_km	Profit/KM
analytics.correlation_distribution	Correlation & Distribution
analytics.cost_breakdown	Cost Breakdown
analytics.cost_breakdown_route	Cost Breakdown
analytics.cost_per_truck	Cost Per Truck
analytics.country_corridors	Country Corridors
analytics.country_revenue	Revenue by Country
